Title,Vertical Normalised Total,Linear Normalised Total,Combined Normalised Total
Op. 11 iii,0.0,0.0,0.0
Op. 31 iv,0.0,0.0,0.0
Op. 6 vi,0.0,0.02246376811594203,0.02246376811594203
Op. 6 v,0.0,0.03463687150837989,0.03463687150837989
Op. 26,0.03898562048226778,0.00748792270531401,0.04647354318758179
Op. 29 i,0.05594784266158389,0.0,0.05594784266158389
Op. 6 iv,0.0,0.062311557788944705,0.062311557788944705
Op. 10 iii,0.03334417696811972,0.03009708737864077,0.06344126434676049
Op. 28 ii,0.06549225684105327,0.0,0.06549225684105327
Op. 16 ii,0.0,0.07380952380952381,0.07380952380952381
Op. 31 v,0.06264962053685116,0.011397058823529411,0.07404667936038058
Op. 25 i,0.0,0.0808695652173913,0.0808695652173913
Op. 6 ii,0.009237459022857079,0.07380952380952381,0.08304698283238089
Op. 28 iii,0.09303718764466154,0.0,0.09303718764466154
Op. 1,0.00223705177896133,0.09204932662664288,0.09428637840560421
Op. 5 v,0.0,0.11071428571428571,0.11071428571428571
Op. 6 i,0.06016140865737344,0.05344827586206897,0.11360968451944241
Op. 31 iii,0.1142170646562607,0.016103896103896103,0.1303209607601568
Op. 28 i,0.13132825660039152,0.0,0.13132825660039152
Op. 30,0.1267326424362708,0.015736040609137057,0.14246868304540786
Op. 29 iii,0.15016830174773135,0.0,0.15016830174773135
Op. 31 i,0.0,0.1530864197530864,0.1530864197530864
Op. 4 v,0.06784036005030115,0.09207920792079208,0.15991956797109325
Op. 19 i,0.03326572008113593,0.1306791569086651,0.16394487698980104
Op. 25 iii,0.0583207880418678,0.1127272727272727,0.1710480607691405
Op. 9 ii,0.07162979624817102,0.1,0.17162979624817104
Op. 11 ii,0.18951650180271787,0.0,0.18951650180271787
Op. 31 ii,0.19575596816976137,0.0,0.19575596816976137
Op. 10 i,0.20564263322884013,0.0,0.20564263322884013
Op. 7 i,0.22988505747126445,0.0,0.22988505747126445
Op. 2,0.16338871629643537,0.07449168207024029,0.23788039836667565
Op. 15 i,0.029454022988505742,0.20984615384615382,0.23930017683465957
Op. 5 i,0.09816644240024047,0.1496551724137931,0.2478216148140336
Op. 23 ii,0.16222199642209417,0.08985507246376812,0.2520770688858623
Op. 3 iv,0.05923714120593328,0.19787234042553192,0.2571094816314652
Op. 23 i,0.08577106795439489,0.1787139689578714,0.26448503691226627
Op. 4 i,0.005970410065237663,0.2624713958810069,0.26844180594624456
Op. 3 i,0.0,0.28396946564885495,0.28396946564885495
Op. 31 vi,0.29868868382710106,0.0,0.29868868382710106
Op. 4 iv,0.0,0.31,0.31
Op. 3 iii,0.0,0.31632653061224486,0.31632653061224486
Op. 13 ii,0.03309905659615753,0.2924528301886793,0.3255518867848368
Op. 25 ii,0.3059461157803788,0.02066666666666667,0.32661278244704545
Op. 3 v,0.0,0.32700421940928276,0.32700421940928276
Op. 10 ii,0.0,0.33818181818181814,0.33818181818181814
Op. 5 ii,0.07287593316743692,0.26724137931034486,0.34011731247778176
Op. 24 ii,0.27807524809024065,0.07045454545454546,0.3485297935447861
Op. 23 iii,0.13684825797549535,0.21558752997601915,0.35243578795151453
Op. 6 iii,0.2618135376756063,0.10333333333333332,0.3651468710089396
Op. 12 i,0.17609522640814823,0.19375,0.3698452264081482
Op. 27 iii,0.2229757645425387,0.15630252100840336,0.37927828555094206
Op. 7 ii,0.17993591782008994,0.20286298568507158,0.38279890350516155
Op. 10 v,0.10577005761458425,0.2924528301886793,0.39822288780326354
Op. 16 iv,0.0,0.40259740259740256,0.40259740259740256
Op. 9 iii,0.2052932761087266,0.2101694915254237,0.4154627676341503
Op. 17 i,0.27799302595893,0.14588235294117646,0.42387537890010646
Op. 5 iii,0.333010358459712,0.09935897435897435,0.43236933281868634
Op. 19 ii,0.31842187014600815,0.11654135338345865,0.4349632235294668
Op. 24 iii,0.19068500431864974,0.2646341463414634,0.4553191506601132
Op. 8 ii,0.06877540636200476,0.3875,0.45627540636200475
Op. 4 iii,0.09450488659413611,0.36186770428015563,0.4563725908742917
Op. 12 iii,0.0882848197482375,0.3792553191489362,0.46754013889717366
Op. 13 i,0.06048691745018514,0.44285714285714284,0.503344060307328
Op. 29 ii,0.5135603805908445,0.0,0.5135603805908445
Op. 24 i,0.4224650827203557,0.09908675799086758,0.5215518407112233
Op. 14 ii,0.16385971308774255,0.37139364303178485,0.5352533561195274
Op. 8 i,0.18954149298976883,0.3522727272727273,0.5418142202624961
Op. 4 ii,0.1956313800279189,0.34785478547854787,0.5434861655064668
Op. 13 iv,0.2296232684912066,0.3173228346456693,0.5469461031368759
Op. 10 iv,0.2577227011494253,0.31,0.5677227011494252
Op. 7 iv,0.2740516095518922,0.2936842105263158,0.567735820078208
Op. 14 iv,0.16751759255507376,0.436530612244898,0.6040482047999718
Op. 15 iv,0.2152984421494837,0.39680000000000004,0.6120984421494837
Op. 9 i,0.4943791449470996,0.124,0.6183791449470997
Op. 12 iv,0.12938924070606558,0.4925233644859812,0.6219126051920468
Op. 17 iii,0.3524691947654981,0.27125,0.6237191947654981
Op. 11 i,0.23881640260950618,0.3875,0.6263164026095062
Op. 15 iii,0.3290952289218519,0.3444444444444444,0.6735396733662963
Op. 22 ii,0.26847704521152893,0.40581818181818186,0.6742952270297108
Op. 9 iv,0.6041850869437079,0.09253731343283583,0.6967224003765438
Op. 12 ii,0.19968829144749659,0.49738805970149247,0.697076351148989
Op. 21 i,0.20074141428271425,0.50375,0.7044914142827143
Op. 15 v,0.3904370489174018,0.32700421940928276,0.7174412683266845
Op. 21 ii,0.5664170704782406,0.16198198198198197,0.7283990524602226
Op. 14 v,0.3710315402004327,0.37439613526570054,0.7454276754661333
Op. 3 ii,0.09276857634175041,0.6549295774647886,0.747698153806539
Op. 18 i,0.500314911037631,0.252442996742671,0.752757907780302
Op. 18 ii,0.3384079236977256,0.416628701594533,0.7550366252922587
Op. 16 iii,0.2376122862938279,0.5636363636363637,0.8012486499301916
Op. 17 ii,0.22213927952225013,0.5861344537815126,0.8082737333037627
Op. 14 vi,0.4790905714108837,0.34008438818565406,0.8191749595965377
Op. 18 iii,0.6161660943335254,0.22842105263157889,0.8445871469651043
Op. 14 i,0.34946407294400395,0.510248447204969,0.8597125201489729
Op. 14 iii,0.44392261311150166,0.4299270072992701,0.8738496204107717
Op. 22 i,0.10903288715539478,0.7701863354037267,0.8792192225591215
Op. 9 v,0.8910460736018546,0.0,0.8910460736018546
Op. 9 vi,0.39515956307560524,0.5166666666666666,0.9118262297422719
Op. 13 iii,0.6704824202780051,0.3346031746031746,1.0050855948811797
Op. 15 ii,0.597300187115744,0.41680672268907565,1.0141069098048197
Op. 16 v,0.3287198069973162,0.7482758620689656,1.0769956690662816
Op. 20 ii,0.52953894265864,0.5579339723109691,1.087472914969609
Op. 7 iii,0.10670136629798319,1.0,1.1067013662979832
Op. 20 i,0.8878521213583297,0.254296875,1.1421489963583298
Op. 16 i,0.8205049261083746,0.3394160583941606,1.1599209845025351
Op. 27 ii,0.8836206896551725,0.290625,1.1742456896551725
Op. 27 i,0.8866995073891627,0.31,1.1966995073891626
Op. 5 iv,1.0,0.43055555555555564,1.4305555555555556
